Tick;Step;Energy;Government_announce_date;Human_gain_by_age;Immune;Infected;Initial_infected_rate;obedient;Obey_ratio;Rule;Ticks;Vulnerable_class_ratio;0_Position;1_Position;ID
0;0;6;96;10;False;False;1;False;60;;0;30;34.0;6.0;25042981-ddf1-4ed5-8058-4d11a8da0345
0;0;20;96;10;False;False;1;False;60;;0;30;19.0;73.0;badececd-32ff-4ae3-bc60-95e04386f231
0;0;20;96;10;False;False;1;False;60;;0;30;2.0;91.0;45591ec0-178c-41a8-a286-c9fb704105ae
0;0;4;96;10;False;False;1;False;60;;0;30;59.0;92.0;bf191764-7b6b-421e-ba52-711e76eafcec
0;0;8;96;10;False;False;1;False;60;;0;30;75.0;73.0;d058e634-f935-48d5-9cc0-72c137c2f636
0;0;22;96;10;False;False;1;False;60;;0;30;4.0;43.0;122a36f0-dbc0-4ee9-a96f-a1e16a115652
0;0;23;96;10;False;False;1;False;60;;0;30;66.0;27.0;bcc89157-3570-43b2-b3d3-4f8f3ba44442
0;0;18;96;10;False;False;1;False;60;;0;30;37.0;14.0;f78a46a9-cff2-4007-91e4-d853ee31c76a
0;0;0;96;10;False;False;1;False;60;;0;30;36.0;73.0;b14d439a-55f7-4d96-8332-d684fd386fca
0;0;20;96;10;False;False;1;False;60;;0;30;14.0;3.0;d20ae64e-f3fb-43e4-82cf-6c625c4ecdde
0;0;18;96;10;False;False;1;False;60;;0;30;94.0;99.0;a0749b01-2b86-44a0-865e-85d72628e9cb
0;0;23;96;10;False;False;1;False;60;;0;30;46.0;86.0;1b7cea08-99a6-400f-ae9f-cfdf0b737895
0;0;7;96;10;False;True;1;False;60;;0;30;25.0;56.0;03ec219d-37bd-42a9-9635-a6d0e53f7fcc
0;0;23;96;10;False;False;1;False;60;;0;30;98.0;97.0;cce2dea1-b966-4a00-a1b9-55342a737a53
0;0;19;96;10;False;True;1;False;60;;0;30;43.0;5.0;853d50fb-866d-419f-b587-73628a567b75
0;0;22;96;10;False;False;1;False;60;;0;30;83.0;27.0;c62e1a6f-62bd-46b7-937f-1fd676a0daeb
0;0;3;96;10;False;False;1;False;60;;0;30;37.0;55.0;0fc5896f-a7ef-4049-b767-89c25c32efd5
0;0;23;96;10;False;False;1;False;60;;0;30;96.0;5.0;3305365a-e335-452a-b0cc-2bad1b3abd46
0;0;20;96;10;False;False;1;False;60;;0;30;69.0;44.0;8c2345b7-abf2-410d-a5fc-e39f74c98c2b
0;0;3;96;10;False;False;1;False;60;;0;30;58.0;49.0;8cc8a8a5-32b4-4a7e-bd5c-6b3e1204db1e
0;0;3;96;10;False;False;1;False;60;;0;30;37.0;69.0;dada638c-83f3-40dd-a4c2-1fa2fbaeb537
0;0;24;96;10;False;False;1;False;60;;0;30;80.0;64.0;8d72ae57-7c09-4df0-8f11-793e0d395ab8
0;0;16;96;10;False;False;1;False;60;;0;30;27.0;43.0;c6bc5657-81e4-4497-9e0e-7630885d690b
0;0;17;96;10;False;False;1;False;60;;0;30;52.0;53.0;a92ce728-561c-45be-a1ab-514175602a71
0;0;21;96;10;False;False;1;False;60;;0;30;72.0;67.0;132a2062-6933-4ffd-99eb-7bf4e3990c08
0;0;24;96;10;False;False;1;False;60;;0;30;49.0;12.0;fa82d91c-fa7e-4a88-a4e7-ef3ae983cc3a
0;0;6;96;10;False;False;1;False;60;;0;30;5.0;67.0;af4bbbc1-f5c8-4c7e-960f-15d5ad8a52ff
0;0;21;96;10;False;False;1;False;60;;0;30;4.0;98.0;7e81c55e-0b0c-4e5d-9a7d-2887f21e521d
0;0;24;96;10;False;False;1;False;60;;0;30;31.0;31.0;634916c5-b31c-4b89-abe9-e6ae72ba7217
0;0;6;96;10;False;False;1;False;60;;0;30;52.0;57.0;48cad6ae-49f8-403a-9fee-1f5cce8f52a2
0;0;18;96;10;False;False;1;False;60;;0;30;22.0;57.0;326258d9-7a32-49fd-a6fb-b2971f59245a
0;0;23;96;10;False;False;1;False;60;;0;30;82.0;84.0;589ba351-4bb5-4e75-bae5-6f4e1063e376
0;0;19;96;10;False;False;1;False;60;;0;30;94.0;43.0;c86debfd-f9a3-498e-818f-bb1e6c000586
0;0;17;96;10;False;False;1;False;60;;0;30;92.0;79.0;83e0cc33-0683-4d9f-9504-1f10e009b8a8
0;0;9;96;10;False;False;1;False;60;;0;30;51.0;42.0;f78f556a-aaee-4c5b-bca1-d13b30e56714
0;0;4;96;10;False;False;1;False;60;;0;30;6.0;4.0;4b622bb8-c9e3-49e6-993a-a0700fb13dc3
0;0;24;96;10;False;False;1;False;60;;0;30;49.0;36.0;0f1a98c0-09ab-40a5-a44c-d5aec5d9b67a
0;0;17;96;10;False;False;1;False;60;;0;30;83.0;61.0;7b730dea-d449-4dbb-96e8-32a2775a8852
0;0;21;96;10;False;False;1;False;60;;0;30;88.0;1.0;ac8dbec8-91de-4932-9a9e-a1dc39422bf2
0;0;22;96;10;False;False;1;False;60;;0;30;26.0;37.0;d07768a6-4d05-4c5e-94cd-fd4c68d2d7f9
0;0;16;96;10;False;False;1;False;60;;0;30;22.0;67.0;2ecc1249-99f9-4f46-88aa-a3f5b9ee8d6d
0;0;20;96;10;False;False;1;False;60;;0;30;22.0;1.0;a79f581f-19b8-4b33-bf58-5cea8403d173
